agent_id,matches_played,wins,average_rank,average_survival_steps,average_latency_ms,kills,suicides,bricks_destroyed,items_collected,final_elo,win_rate
Backtracking,220,65,2.1136363636363638,230.4318181818182,70.65886363636363,18,28,875,348,1678.44,0.29545454545454547
A*,220,85,2.0272727272727273,176.8272727272727,81.70568181818182,75,73,2623,1172,1657.77,0.38636363636363635
SimulatedAnnealing,220,76,2.131818181818182,190.47727272727272,69.64295454545454,25,59,1177,461,1647.29,0.34545454545454546
HillClimbing,220,77,2.140909090909091,163.18636363636364,68.27522727272726,67,84,1909,772,1616.13,0.35
MinConflicts,220,67,2.3227272727272728,173.0,81.23536363636363,43,47,1700,734,1597.68,0.30454545454545456
BFS,220,71,2.418181818181818,139.0,74.2415909090909,39,95,2281,853,1581.25,0.32272727272727275
Greedy,220,110,1.95,185.6590909090909,77.14231818181818,71,71,2635,1140,1566.96,0.5
Minimax,220,26,2.581818181818182,183.3909090909091,68.27609090909091,33,73,893,344,1538.59,0.11818181818181818
AndOrSearch,220,34,2.577272727272727,179.64545454545456,68.7805,20,79,1046,382,1528.0,0.15454545454545454
OnlineSearch,220,28,2.7045454545454546,135.00454545454545,68.47586363636364,34,145,1220,432,1476.05,0.12727272727272726
DFS,220,58,2.7772727272727273,118.71363636363637,72.86272727272727,13,117,757,249,1463.27,0.2636363636363636
Expectimax,220,18,2.8181818181818183,174.73636363636365,68.67422727272728,34,72,983,381,1411.75,0.08181818181818182
Random,220,0,3.9363636363636365,16.295454545454547,0.02022727272727273,0,214,147,5,979.35,0.0
